Date,Close
1/2/2019 16:00:00,28.92
1/3/2019 16:00:00,28.11
1/4/2019 16:00:00,28.23
1/7/2019 16:00:00,28.9
1/8/2019 16:00:00,29.64
1/9/2019 16:00:00,33.6
1/10/2019 16:00:00,37.55
1/11/2019 16:00:00,38.25
1/14/2019 16:00:00,42.49
1/15/2019 16:00:00,41.3
1/16/2019 16:00:00,42.1
1/17/2019 16:00:00,42.77
1/18/2019 16:00:00,43.52
1/22/2019 16:00:00,43.66
1/23/2019 16:00:00,43.45
1/24/2019 16:00:00,44.21
1/25/2019 16:00:00,48.48
1/28/2019 16:00:00,50.77
1/29/2019 16:00:00,47.13
1/30/2019 16:00:00,48.02
1/31/2019 16:00:00,48.98
2/1/2019 16:00:00,48.88
2/4/2019 16:00:00,49.72
2/5/2019 16:00:00,48.64
2/6/2019 16:00:00,46.53
2/7/2019 16:00:00,46.93
2/8/2019 16:00:00,45.47
2/11/2019 16:00:00,42.94
2/12/2019 16:00:00,43.84
2/13/2019 16:00:00,46.05
2/14/2019 16:00:00,46.12
2/15/2019 16:00:00,47.56
2/19/2019 16:00:00,46.39
2/20/2019 16:00:00,46.27
2/21/2019 16:00:00,45.04
2/22/2019 16:00:00,44.54
2/25/2019 16:00:00,43.86
2/26/2019 16:00:00,46.26
2/27/2019 16:00:00,45.75
2/28/2019 16:00:00,47.41
3/1/2019 16:00:00,47.05
3/4/2019 16:00:00,46.8
3/5/2019 16:00:00,47.88
3/6/2019 16:00:00,46.14
3/7/2019 16:00:00,45.13
3/8/2019 16:00:00,45.4
3/11/2019 16:00:00,46.01
3/12/2019 16:00:00,46.76
3/13/2019 16:00:00,46.08
3/14/2019 16:00:00,45.52
3/15/2019 16:00:00,45.89
3/18/2019 16:00:00,45.69
3/19/2019 16:00:00,46.11
3/20/2019 16:00:00,46.87
3/21/2019 16:00:00,46.04
3/22/2019 16:00:00,44.38
3/25/2019 16:00:00,44.23
3/26/2019 16:00:00,44.7
3/27/2019 16:00:00,42.89
3/28/2019 16:00:00,42.37
3/29/2019 16:00:00,43.37
4/1/2019 16:00:00,42.48
4/2/2019 16:00:00,43.15
4/3/2019 16:00:00,43.38
4/4/2019 16:00:00,43.31
4/5/2019 16:00:00,43.24
4/8/2019 16:00:00,42.71
4/9/2019 16:00:00,41.75
4/10/2019 16:00:00,42.21
4/11/2019 16:00:00,40.08
4/12/2019 16:00:00,42.29
4/15/2019 16:00:00,40.73
4/16/2019 16:00:00,41.68
4/17/2019 16:00:00,42.85
4/18/2019 16:00:00,44.56
4/22/2019 16:00:00,48.25
4/23/2019 16:00:00,47.41
4/24/2019 16:00:00,48.37
4/25/2019 16:00:00,48.2
4/26/2019 16:00:00,49.91
4/29/2019 16:00:00,52.03
4/30/2019 16:00:00,50.52
5/1/2019 16:00:00,50.68
5/2/2019 16:00:00,48.46
5/3/2019 16:00:00,49.08
5/6/2019 16:00:00,49.2
5/7/2019 16:00:00,47.55
5/8/2019 16:00:00,48.04
5/9/2019 16:00:00,46.87
5/10/2019 16:00:00,47.48
5/13/2019 16:00:00,43.76
5/14/2019 16:00:00,45.3
5/15/2019 16:00:00,45.4
5/16/2019 16:00:00,45.05
5/17/2019 16:00:00,44.61
5/20/2019 16:00:00,43.27
5/21/2019 16:00:00,44.99
5/22/2019 16:00:00,46.02
5/23/2019 16:00:00,44.56
5/24/2019 16:00:00,44.42
5/28/2019 16:00:00,44.64
5/29/2019 16:00:00,42.48
5/30/2019 16:00:00,42.18
5/31/2019 16:00:00,40.26
6/3/2019 16:00:00,38.73
6/4/2019 16:00:00,41
6/5/2019 16:00:00,40.83
6/6/2019 16:00:00,41.4
6/7/2019 16:00:00,42.19
6/10/2019 16:00:00,43.76
6/11/2019 16:00:00,42.95
6/12/2019 16:00:00,42.84
6/13/2019 16:00:00,41.86
6/14/2019 16:00:00,41.18
6/17/2019 16:00:00,41.87
6/18/2019 16:00:00,42.04
6/19/2019 16:00:00,42.77
6/20/2019 16:00:00,43.71
6/21/2019 16:00:00,40.16
6/24/2019 16:00:00,40.57
6/25/2019 16:00:00,39.77
6/26/2019 16:00:00,39.73
6/27/2019 16:00:00,40.66
6/28/2019 16:00:00,40.31
7/1/2019 16:00:00,40.59
7/2/2019 16:00:00,40.08
7/3/2019 13:00:00,41.06
7/5/2019 16:00:00,40.16
7/8/2019 16:00:00,39.48
7/9/2019 16:00:00,39.12
7/10/2019 16:00:00,38.6
7/11/2019 16:00:00,37.09
7/12/2019 16:00:00,34.21
7/15/2019 16:00:00,35.17
7/16/2019 16:00:00,35.56
7/17/2019 16:00:00,36.59
7/18/2019 16:00:00,35.8
7/19/2019 16:00:00,35.49
7/22/2019 16:00:00,34.85
7/23/2019 16:00:00,35.52
7/24/2019 16:00:00,35.41
7/25/2019 16:00:00,35.08
7/26/2019 16:00:00,34.82
7/29/2019 16:00:00,33.5
7/30/2019 16:00:00,33.2
7/31/2019 16:00:00,32.64
8/1/2019 16:00:00,31.18
8/2/2019 16:00:00,32.71
8/5/2019 16:00:00,31.38
8/6/2019 16:00:00,32.39
8/7/2019 16:00:00,32.21
8/8/2019 16:00:00,32.86
8/9/2019 16:00:00,32.9
8/12/2019 16:00:00,32.87
8/13/2019 16:00:00,34.2
8/14/2019 16:00:00,31.93
8/15/2019 16:00:00,27.34
8/16/2019 16:00:00,28.11
8/19/2019 16:00:00,26.72
8/20/2019 16:00:00,27.22
8/21/2019 16:00:00,26.57
8/22/2019 16:00:00,25.13
8/23/2019 16:00:00,24.89
8/26/2019 16:00:00,25.04
8/27/2019 16:00:00,23.49
8/28/2019 16:00:00,24.2
8/29/2019 16:00:00,24.13
8/30/2019 16:00:00,23.58
9/3/2019 16:00:00,24.88
9/4/2019 16:00:00,24.58
9/5/2019 16:00:00,26.4
9/6/2019 16:00:00,27.66
9/9/2019 16:00:00,27.23
9/10/2019 16:00:00,27.43
9/11/2019 16:00:00,27.4
9/12/2019 16:00:00,26.53
9/13/2019 16:00:00,27.46
9/16/2019 16:00:00,27.76
9/17/2019 16:00:00,28.37
9/18/2019 16:00:00,28.79
9/19/2019 16:00:00,26.34
9/20/2019 16:00:00,25.56
9/23/2019 16:00:00,25.6
9/24/2019 16:00:00,24.01
9/25/2019 16:00:00,24.69
9/26/2019 16:00:00,24.74
9/27/2019 16:00:00,23.83
9/30/2019 16:00:00,22.93
10/1/2019 16:00:00,21.83
10/2/2019 16:00:00,21.98
10/3/2019 16:00:00,23.38
10/4/2019 16:00:00,22.92
10/7/2019 16:00:00,22.23
10/8/2019 16:00:00,22.72
10/9/2019 16:00:00,22.83
10/10/2019 16:00:00,20.42
10/11/2019 16:00:00,19.43
10/14/2019 16:00:00,18.86
10/15/2019 16:00:00,20.1
10/16/2019 16:00:00,19.73
10/17/2019 16:00:00,20.76
10/18/2019 16:00:00,20.21
10/21/2019 16:00:00,20.35
10/22/2019 16:00:00,21.15
10/23/2019 16:00:00,21.75
10/24/2019 16:00:00,21.66
10/25/2019 16:00:00,21.92
10/28/2019 16:00:00,21.64
10/29/2019 16:00:00,20.57
10/30/2019 16:00:00,20.16
10/31/2019 16:00:00,19.96
11/1/2019 16:00:00,19.71
11/4/2019 16:00:00,20.15
11/5/2019 16:00:00,19.86
11/6/2019 16:00:00,19.42
11/7/2019 16:00:00,19.08
11/8/2019 16:00:00,21.46
11/11/2019 16:00:00,20.3
11/12/2019 16:00:00,19.25
11/13/2019 16:00:00,18.5
11/14/2019 16:00:00,15.84
11/15/2019 16:00:00,15.33
11/18/2019 16:00:00,14.22
11/19/2019 16:00:00,15.32
11/20/2019 16:00:00,17.64
11/21/2019 16:00:00,20.29
11/22/2019 16:00:00,18.41
11/25/2019 16:00:00,18.45
11/26/2019 16:00:00,18.11
11/27/2019 16:00:00,18.81
11/29/2019 13:00:00,18.59
12/2/2019 16:00:00,18.14
12/3/2019 16:00:00,18.98
12/4/2019 16:00:00,18.38
12/5/2019 16:00:00,18.6
12/6/2019 16:00:00,18.65
12/9/2019 16:00:00,21.29
12/10/2019 16:00:00,20.09
12/11/2019 16:00:00,20.25
12/12/2019 16:00:00,21.13
12/13/2019 16:00:00,20.68
12/16/2019 16:00:00,20.36
12/17/2019 16:00:00,20.65
12/18/2019 16:00:00,19.73
12/19/2019 16:00:00,20.07
12/20/2019 16:00:00,20.04
12/23/2019 16:00:00,19.74
12/24/2019 13:00:00,19.96
12/26/2019 16:00:00,19.22
12/27/2019 16:00:00,19.21
12/30/2019 16:00:00,18.79
12/31/2019 16:00:00,21.09
1/2/2020 16:00:00,20.13
1/3/2020 16:00:00,19.9
1/6/2020 16:00:00,20.08
