Date,Close
8/9/2019,44.88
8/12/2019,44.82
8/13/2019,45.83
8/14/2019,44.63
8/15/2019,44.58
8/16/2019,46.03
8/19/2019,46.43
8/20/2019,46.37
8/21/2019,47.24
8/22/2019,47.58
8/23/2019,46.92
8/26/2019,47.07
8/27/2019,46.94
8/28/2019,47.15
8/29/2019,48.92
8/30/2019,50.21
9/3/2019,49.66
9/4/2019,52.17
9/5/2019,54.1
9/6/2019,54.33
9/9/2019,54.78
9/10/2019,55.33
9/11/2019,56.21
9/12/2019,56.3
9/13/2019,56.15
9/16/2019,55.7
9/17/2019,56.05
9/18/2019,56.75
9/19/2019,52.94
9/20/2019,52.4
9/23/2019,52.75
9/24/2019,51.86
9/25/2019,53.08
9/26/2019,53.66
9/27/2019,53.81
9/30/2019,53.79
10/1/2019,52.86
10/2/2019,52.25
10/3/2019,53.09
10/4/2019,53.68
10/7/2019,53.62
10/8/2019,51.21
10/9/2019,52.17
10/10/2019,52.9
10/11/2019,53.81
10/14/2019,53.88
10/15/2019,54.94
10/16/2019,54.9
10/17/2019,55.18
10/18/2019,54.98
10/21/2019,55.48
10/22/2019,55.86
10/23/2019,56.1
10/24/2019,56.24
10/25/2019,56.92
10/28/2019,57.75
10/29/2019,57.97
10/30/2019,57.85
10/31/2019,58.03
11/1/2019,57.62
11/4/2019,58.08
11/5/2019,57.67
11/6/2019,57.84
11/7/2019,58.12
11/8/2019,58.79
11/11/2019,58.25
11/12/2019,57.97
11/13/2019,58.13
11/14/2019,58.21
11/15/2019,59.08
11/18/2019,60.09
11/19/2019,59.65
11/20/2019,59.61
11/21/2019,59.48
11/22/2019,59.28
11/25/2019,59.85
11/26/2019,59.26
11/27/2019,60.24
11/29/2019,59.68
12/2/2019,59.33
12/3/2019,58.21
12/4/2019,58.64
12/5/2019,58.59
12/6/2019,58.99
12/9/2019,57.12
12/10/2019,57.62
12/11/2019,57.94
12/12/2019,59.05
12/13/2019,58.76
12/16/2019,59.06
12/17/2019,59.17
12/18/2019,58.8
12/19/2019,58.45
12/20/2019,59.62
12/23/2019,60.37
12/24/2019,59.49
12/26/2019,59.92
12/27/2019,59.58
12/30/2019,59.29
12/31/2019,59.5
1/2/2020,60.5
1/3/2020,58.91
1/6/2020,58.21
1/7/2020,58.91
1/8/2020,59.37
1/9/2020,60.46
1/10/2020,59.98
1/13/2020,60.99
1/14/2020,60.78
1/15/2020,60.51
1/16/2020,61.53
1/17/2020,61.08
1/21/2020,61.05
1/22/2020,61.25
1/23/2020,62.76
1/24/2020,63.23
1/27/2020,60.67
1/28/2020,61.97
1/29/2020,59.01
1/30/2020,58.38
1/31/2020,56.99
2/3/2020,57.95
2/4/2020,58.97
2/5/2020,54.73
2/6/2020,55.16
2/7/2020,54.1
2/10/2020,54.94
2/11/2020,55.75
2/12/2020,56.22
2/13/2020,55.8
2/14/2020,53.99
2/18/2020,54.2
2/19/2020,53.95
2/20/2020,54.75
2/21/2020,54.04
2/24/2020,52.04
2/25/2020,50.42
2/26/2020,51.08
2/27/2020,48.36
2/28/2020,47.95
3/2/2020,50.37
3/3/2020,50.21
3/4/2020,51.44
3/5/2020,50.27
3/6/2020,49.26
3/9/2020,45.31
3/10/2020,47.9
3/11/2020,45.33
3/12/2020,44.55
3/13/2020,48.93
3/16/2020,40.97
3/17/2020,45.15
3/18/2020,42.99
3/19/2020,42.66
3/20/2020,40.73
3/23/2020,40.78
3/24/2020,43.46
3/25/2020,44.52
3/26/2020,47.97
3/27/2020,47.97
3/30/2020,49.87
3/31/2020,48.8
4/1/2020,47.86
4/2/2020,47.58
4/3/2020,45.76
4/6/2020,48.64
4/7/2020,49.07
4/8/2020,51.03
4/9/2020,51.25
4/13/2020,50.91
4/14/2020,51.43
4/15/2020,50.23
4/16/2020,50.63
4/17/2020,51.47
4/20/2020,50.83
4/21/2020,49.74
4/22/2020,50.74
4/23/2020,47.89
4/24/2020,48.63
4/27/2020,49.03
4/28/2020,48.99
4/29/2020,51.06
4/30/2020,49.95
5/1/2020,47.71
5/4/2020,46.44
5/5/2020,46.75
5/6/2020,47.52
5/7/2020,48.72
5/8/2020,51.06
5/11/2020,49.86
5/12/2020,48.62
5/13/2020,47.43
5/14/2020,48.07
5/15/2020,47.77
5/18/2020,49.38
5/19/2020,50.17
5/20/2020,51.85
5/21/2020,51.26
5/22/2020,50.96
5/26/2020,51.2
5/27/2020,52.01
5/28/2020,51.36
5/29/2020,53.04
6/1/2020,52.15
6/2/2020,52.69
6/3/2020,53.12
6/4/2020,54.05
6/5/2020,54.39
6/8/2020,55.63
6/9/2020,54.83
6/10/2020,55.33
6/11/2020,51.26
6/12/2020,50.61
6/15/2020,50.74
6/16/2020,51.68
6/17/2020,51.02
6/18/2020,49.64
6/19/2020,52.05
6/22/2020,50.91
6/23/2020,48.87
6/24/2020,47.62
6/25/2020,47.73
6/26/2020,46.97
6/29/2020,47.76
6/30/2020,48.41
7/1/2020,47.3
7/2/2020,47.34
7/6/2020,48.03
7/7/2020,47.11
7/8/2020,46.56
7/9/2020,46.78
7/10/2020,47.38
7/13/2020,47.33
7/14/2020,47.38
7/15/2020,48.24
7/16/2020,48.5
7/17/2020,48.27
7/20/2020,48.59
7/21/2020,49.42
7/22/2020,49.47
7/23/2020,50
7/24/2020,48.04
7/27/2020,49.58
7/28/2020,48.57
7/29/2020,44.31
7/30/2020,44.4
7/31/2020,45.22
8/3/2020,44.76
8/4/2020,45.39
8/5/2020,45.13
8/6/2020,44.96
8/7/2020,45.31
8/10/2020,46.07
8/11/2020,45.78
8/12/2020,45.64
8/13/2020,44.9
8/14/2020,45.07
8/17/2020,44.9
8/18/2020,45.06
8/19/2020,45.4
8/20/2020,45.04
8/21/2020,44.84
8/24/2020,45.61
8/25/2020,45.44
8/26/2020,45.73
8/27/2020,45.55
8/28/2020,46.6
8/31/2020,47.99
9/1/2020,47.07
9/2/2020,48.59
9/3/2020,47.09
9/4/2020,47.01
9/8/2020,45.69
9/9/2020,46.23
9/10/2020,45.93
9/11/2020,46.54
9/14/2020,47.65
9/15/2020,47.34
9/16/2020,48.67
9/17/2020,49.14
9/18/2020,48.82
9/21/2020,48.23
9/22/2020,47.71
9/23/2020,47.62
9/24/2020,47.42
9/25/2020,48.22
9/28/2020,49.66
9/29/2020,50.07
9/30/2020,49.27
10/1/2020,49.06
10/2/2020,48.74
10/5/2020,49.11
10/6/2020,49.6
